,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue,BRP,BTP
0,0.5831004438599376,0.0467696860101923,0.0637021206641459,0.2695216176228834,0.0369061318428407,5.828,735.45,2.406,151.0,749.0,533.822,69.86705661218363,86.38389069260515
3,0.5945420681836585,0.0449429103571139,0.0621912705482225,0.2624504008421734,0.0358733500688314,5.604,736.02,2.399,150.0,762.0,547.497,61.10928789998204,87.36998969917262
5,0.5854158131913151,0.0465383039737812,0.062843097091356,0.2696435886931585,0.0355591970503891,6.077,760.765,2.4,151.0,781.0,540.659,67.46797732685577,85.2222886101559
6,0.5940602182295512,0.0455328574944622,0.0626794650914759,0.260973008450242,0.0367544507342686,5.912,752.055,2.405,152.0,792.0,542.613,68.88634169294953,86.08873603477807
7,0.586919523462193,0.0468433422481562,0.0632141988815949,0.2666342491287786,0.036388686279277,6.059,756.777,2.402,150.0,805.0,532.845,66.94826914255792,88.12004805536176
9,0.5882592411659339,0.0460022797589969,0.0632633121641426,0.2658361830320794,0.036638983878847,5.949,772.487,2.408,152.0,805.0,545.543,65.16187376955209,87.31643416866764
10,0.5816067480140857,0.0477438375235443,0.0624846449922201,0.2711489640488085,0.0370158054213414,5.967,775.173,2.416,152.0,803.0,529.915,67.44136497583489,86.44236314635815
11,0.5845750777795972,0.0465040117897494,0.0636973964303258,0.2689536597347306,0.0362698542655968,6.136,752.462,2.403,153.0,812.0,550.427,67.4850291340816,87.0783388068843
13,0.5867998689813297,0.0466754012446773,0.0635440550278414,0.2669505404520144,0.0360301342941369,6.048,737.322,2.401,154.0,831.0,550.427,65.34397799841254,87.3163932282679
14,0.5859179892048658,0.0463224039313622,0.0611455731893982,0.2716506887940063,0.0349633448803673,5.868,751.241,2.409,153.0,822.0,538.706,68.98352399180366,87.3699997924703
18,0.588015892321414,0.0467850482445471,0.0606502878456174,0.2675747993189005,0.0369739722695208,5.692,739.601,2.406,155.0,807.0,533.822,62.14724241880066,87.37005364327311
19,0.589282823377044,0.0459770114942528,0.0608709729642221,0.2672818520317306,0.0365873401327505,5.971,736.345,2.411,154.0,820.0,542.613,64.26886977992277,87.49500188151467
24,0.5888754534461911,0.0474002418379685,0.0622329705763804,0.2653768641676743,0.0361144699717855,5.685,738.38,2.404,154.0,813.0,529.915,66.03551568451644,87.5842907562861
31,0.5915903751113992,0.0469901968727213,0.0627886251316535,0.2622539090982744,0.0363768937859515,5.96,736.02,2.411,155.0,760.0,516.239,54.15436917924521,86.86995704064965
32,0.5852204045450883,0.046095575791764,0.0622129099846885,0.2700459344024498,0.0364251752760093,5.667,735.613,2.401,153.0,768.0,511.355,62.46169033671925,85.93250220729959
33,0.5903161264505803,0.0461784713885554,0.0618647458983593,0.2657062825130052,0.0359343737494998,5.799,731.298,2.404,154.0,765.0,524.054,63.64435200883734,86.53348677130626
34,0.5887234561874541,0.0460499552518102,0.0617525018306077,0.2667805711496216,0.036693515580506,6.139,710.623,2.411,152.0,757.0,512.332,66.19841004475144,87.18254801488415
37,0.5892813641900121,0.0458790093382054,0.0626065773447015,0.2662606577344701,0.0359723913926106,6.099,725.193,2.408,153.0,762.0,523.077,65.97572002240186,88.38789189272953
39,0.5865588763677936,0.0473624040503021,0.0622243998040176,0.2677609015188633,0.0360934182590233,6.029,735.694,2.403,152.0,767.0,535.775,57.4745875946925,88.92363981181073
40,0.5924485496678009,0.0465888834872792,0.0622265435099659,0.2624372062874736,0.0362988170474801,6.037,771.591,2.405,149.0,775.0,510.379,67.20907148910295,86.44231332551789
41,0.5876181323081852,0.0460515777670991,0.0620695178600032,0.2683805862566074,0.035880185808105,5.733,758.649,2.404,150.0,785.0,513.309,68.29705173288242,87.1825125419758
42,0.5962783171521036,0.0464401294498382,0.0616504854368932,0.2593042071197411,0.0363268608414239,5.509,759.219,2.411,149.0,814.0,516.239,66.23147057108146,88.92359513931609
43,0.5928542427933414,0.0453105968331303,0.0626065773447016,0.2628501827040195,0.0363784003248071,5.685,767.603,2.406,150.0,837.0,530.891,67.28716477991097,87.7891580618225
44,0.581133000899207,0.0470857516553584,0.0626992561105207,0.2715605329845499,0.0375214583503637,5.817,747.497,2.394,150.0,844.0,503.541,67.93695002788807,86.80747530595548
45,0.5935149995956983,0.0458478208134551,0.0627476348346405,0.2615832457346163,0.0363062990215897,5.963,738.055,2.4,149.0,842.0,505.495,70.0748376436338,86.11106173814346
46,0.5841761827079935,0.0479608482871125,0.0633768352365416,0.267373572593801,0.0371125611745513,5.557,756.37,2.406,149.0,826.0,517.216,70.43829788043294,86.24499552395041
47,0.596313289865572,0.0465266038799001,0.0627867664815262,0.2582307011188924,0.0361426386541093,5.758,749.288,2.412,147.0,811.0,516.239,69.30256353662301,86.7137498009793
48,0.5892143265073019,0.046422452476136,0.0635555192950966,0.2645019172717631,0.0363057844497022,6.07,748.881,2.404,149.0,806.0,517.216,67.04649144025979,87.78914505198006
49,0.5835728952772073,0.0482135523613963,0.0629158110882956,0.268911704312115,0.0363860369609856,6.201,751.404,2.409,148.0,814.0,533.822,68.30760245929238,87.37000867839721
50,0.5908904390644235,0.0472712351251538,0.0638489946655724,0.2620434961017645,0.0359458350430857,5.945,746.032,2.406,148.0,823.0,536.752,65.9272820332903,88.65569722578394
52,0.5896296296296296,0.0473251028806584,0.0632098765432098,0.2627160493827161,0.037119341563786,6.114,739.438,2.398,148.0,823.0,518.193,65.49397619772338,86.4793866086198
53,0.5843866171003718,0.0474184221396117,0.0631144155307724,0.2675753820735233,0.0375051631557207,5.689,736.182,2.412,148.0,812.0,531.868,65.82704894986495,86.9481095427266
54,0.5893222140462759,0.0448859455481972,0.0644264573624397,0.2642465865423923,0.0371187965006949,5.799,744.729,2.401,148.0,797.0,526.984,66.71350640455664,87.3479400592341
55,0.5939941406249999,0.04638671875,0.063720703125,0.2591959635416667,0.0367024739583333,5.484,734.88,2.411,148.0,778.0,527.961,68.65680011106396,87.74500794723356
56,0.5902170391966312,0.046485260770975,0.0634110787172011,0.2635244574020084,0.0363621639131843,5.916,731.38,2.409,147.0,771.0,524.054,71.3382434618285,87.45036767397634
58,0.5829929750040843,0.0466427054402875,0.0638784512334585,0.2702989707564123,0.0361868975657572,5.894,731.787,2.404,147.0,761.0,529.915,62.66289218551678,88.87000876193993
59,0.585605502333579,0.0474903791042332,0.0623925325472856,0.2679931220830263,0.0365184639318758,5.971,736.182,2.401,149.0,748.0,530.891,65.5324599592695,86.9949860913499
60,0.5877799736495388,0.04883069828722,0.0624176548089591,0.2642457180500659,0.036725955204216,5.762,758.242,2.407,147.0,745.0,528.938,66.19841004475144,87.18254801488415
61,0.5846229027528913,0.0465873920834012,0.0606776347939403,0.2725199543899658,0.0355921159798012,5.963,768.661,2.413,149.0,742.0,499.634,66.07313078275507,87.1824984148016
62,0.592137986361813,0.0461291616526273,0.0607300441235459,0.2654632972322503,0.0355395106297633,6.165,759.87,2.406,148.0,753.0,534.799,67.30837984210595,87.28666784735475
63,0.5897937556044672,0.0472813238770685,0.0615472405641151,0.2651014918072878,0.0362761881470612,5.799,775.987,2.399,150.0,763.0,520.147,67.42958011604473,88.00968463492379
65,0.5899628852670646,0.0441342585121833,0.061400677747297,0.267871550750363,0.0366306277230918,5.802,760.602,2.407,150.0,786.0,519.17,63.72600377373566,88.97229044732993
66,0.5865244789142026,0.0464533850379705,0.0624495071901761,0.2676522863144288,0.0369203425432218,5.608,769.068,2.406,148.0,787.0,518.193,66.80899930429857,87.65123746047965
67,0.5843765241424159,0.04641521703788,0.0621037229718745,0.2704438302715005,0.036660705576329,5.582,757.998,2.407,149.0,802.0,530.891,65.66522672513072,87.85214317244296
