,main_temp,main_pressure,No.24_temp
0,141.0,-13.514,453.0
1,141.0,-13.548,456.0
2,141.0,-13.568,456.0
3,139.0,-13.578,457.0
4,140.0,-13.563,462.0
5,141.0,-13.578,468.0
6,140.0,-13.558,468.0
7,140.0,-13.558,468.0
8,141.0,-13.543,466.0
9,140.0,-13.504,460.0
10,140.0,-13.529,464.0
11,141.0,-13.534,468.0
12,140.0,-13.543,461.0
13,141.0,-13.573,455.0
14,143.0,-13.563,458.0
15,140.0,-13.573,458.0
16,142.0,-13.578,454.0
17,141.0,-13.582,450.0
18,141.0,-13.558,454.0
19,142.0,-13.563,457.0
20,140.0,-13.607,455.0
21,140.0,-13.621,460.0
22,140.0,-13.636,457.0
23,140.0,-13.675,455.0
24,139.0,-13.685,463.0
25,140.0,-13.665,470.0
26,140.0,-13.69,474.0
27,139.0,-13.685,473.0
28,139.0,-13.709,470.0
29,139.0,-13.719,472.0
30,139.0,-13.719,469.0
31,139.0,-13.719,469.0
32,138.0,-13.69,461.0
33,138.0,-13.69,459.0
34,136.0,-13.719,464.0
35,136.0,-13.734,465.0
36,135.0,-13.744,460.0
37,138.0,-13.748,462.0
38,137.0,-13.773,461.0
39,137.0,-13.768,460.0
40,134.0,-13.724,466.0
41,134.0,-13.734,470.0
42,134.0,-13.724,475.0
43,136.0,-13.709,476.0
44,136.0,-13.705,470.0
45,134.0,-13.705,468.0
46,136.0,-13.719,473.0
47,134.0,-13.729,477.0
48,133.0,-13.739,477.0
49,134.0,-13.758,471.0
50,135.0,-13.748,466.0
51,134.0,-13.797,466.0
52,133.0,-13.763,469.0
53,135.0,-13.748,471.0
54,135.0,-13.734,471.0
55,135.0,-13.67,468.0
56,133.0,-13.675,468.0
57,135.0,-13.69,468.0
58,134.0,-13.705,465.0
59,135.0,-13.744,464.0
60,134.0,-13.758,467.0
61,135.0,-13.758,469.0
62,136.0,-13.788,469.0
63,134.0,-13.783,469.0
64,134.0,-13.778,468.0
65,134.0,-13.797,466.0
66,136.0,-13.744,467.0
67,136.0,-13.724,473.0
68,135.0,-13.753,474.0
69,137.0,-13.719,474.0
70,138.0,-13.705,471.0
71,138.0,-13.68,472.0
72,136.0,-13.651,476.0
73,138.0,-13.621,477.0
74,138.0,-13.665,475.0
75,138.0,-13.631,476.0
76,139.0,-13.641,476.0
77,138.0,-13.597,474.0
78,139.0,-13.621,469.0
79,141.0,-13.621,470.0
80,140.0,-13.621,473.0
81,141.0,-13.661,473.0
82,140.0,-13.67,470.0
83,140.0,-13.661,468.0
84,142.0,-13.685,469.0
85,142.0,-13.675,468.0
86,141.0,-13.695,462.0
87,142.0,-13.641,459.0
88,142.0,-13.68,462.0
89,141.0,-13.705,463.0
90,139.0,-13.719,464.0
91,139.0,-13.719,464.0
92,141.0,-13.744,460.0
93,141.0,-13.763,456.0
94,139.0,-13.714,452.0
95,140.0,-13.734,446.0
96,138.0,-13.685,442.0
97,138.0,-13.744,448.0
98,139.0,-13.709,456.0
99,139.0,-13.734,456.0
100,139.0,-13.758,454.0
101,137.0,-13.729,452.0
102,136.0,-13.768,452.0
103,137.0,-13.788,452.0
104,135.0,-13.773,455.0
105,137.0,-13.778,454.0
106,135.0,-13.783,457.0
107,136.0,-13.753,461.0
108,135.0,-13.788,465.0
