,index,others,海通期货,国泰君安,中信期货,东证期货,银河期货,兴证期货,广发期货,华泰期货,方正中期,申万期货,国投安信,国信期货,上海中期,徽商期货,光大期货,新湖期货,永安期货,宏源期货,中信建投,南华期货,金瑞期货,中融汇信,东方财富,长江期货,平安期货,国富期货,西部期货,瑞达期货,华闻期货,鲁证期货,招金期货,中银国际,浙商期货,中辉期货,华鑫期货,铜冠金源,招商期货,同信久恒,华安期货,齐盛期货,经易期货,弘业期货,五矿经易,宝城期货,建信期货,五矿期货,瑞龙期货,东航期货,中证期货,roll_yield,spot_price,near_contract_price,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,label
0,1,14874.0,975.0,477.0,0.0,0.0,511.0,0.0,623.0,0.0,0.0,723.0,0.0,0.0,610.0,0.0,475.0,990.0,0.0,371.0,0.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,407.0,-0.004345765355392367,334.6,335.92,338.29,1.3199999999999932,3.6899999999999977,0.00394500896592942,0.01102809324566656,-0.9577581365100807
1,2,19353.0,1142.0,0.0,0.0,0.0,506.0,0.0,789.0,0.0,0.0,850.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,872.0,2302.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,1695.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,-0.00247448222100528,336.67,336.0,340.05,-0.6700000000000159,3.3799999999999955,-0.001990079306145476,0.010039504559360868,0.5175709454491959
2,3,15389.0,1078.0,583.0,0.0,0.0,522.0,0.0,648.0,0.0,0.0,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,939.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,0.0,1123.0,-0.004954176424723755,337.0,336.5,341.29,-0.5,4.2900000000000205,-0.0014836795252225476,0.012729970326409656,0.3633273755457262
3,4,15113.0,938.0,0.0,0.0,0.0,396.0,0.0,950.0,0.0,0.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,1477.0,0.0,0.0,570.0,-0.005310284070602327,336.81,336.5,340.62,-0.3100000000000023,3.8100000000000023,-0.0009204002256465449,0.011312015676494092,-0.19670013504785858
4,5,10130.0,417.0,579.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0,947.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,391.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,751.0,373.0,0.0,484.0,-0.006009638522616134,336.81,336.5,341.85,-0.3100000000000023,5.0400000000000205,-0.0009204002256465449,0.014963926249220716,0.3598069328652971
5,6,9410.0,742.0,285.0,0.0,0.0,323.0,0.0,678.0,0.0,0.0,738.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,312.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,0.0,-0.005872811576309648,336.81,336.5,340.49,-0.3100000000000023,3.680000000000007,-0.0009204002256465449,0.010926041388319874,-0.39942435901201606
6,7,24400.0,1037.0,782.0,0.0,0.0,1178.0,0.0,1313.0,0.0,0.0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,550.0,0.0,798.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,0.0,0.0,695.0,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0,2698.0,583.0,0.0,595.0,-0.006835489021320582,326.7,336.5,329.8,9.800000000000011,3.1000000000000227,0.029996939087848284,0.00948882767064596,-3.2413583990297137
7,8,13582.0,419.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,901.0,0.0,0.0,0.0,320.0,415.0,0.0,525.0,783.0,0.0,371.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,331.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,-0.005569482852865377,326.92,326.21,329.76,-0.7100000000000364,2.839999999999975,-0.002171785146213301,0.008687140584852537,-0.012130033964101304
8,9,13817.0,574.0,617.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,699.0,0.0,0.0,331.0,0.0,458.0,0.0,0.0,894.0,0.0,433.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,461.0,413.0,0.0,527.0,-0.005518442217005391,325.82,325.2,328.79,-0.6200000000000045,2.9700000000000273,-0.0019028911669020099,0.009115462525320916,-0.295021138112464
9,10,37443.0,2598.0,1561.0,0.0,0.0,2143.0,0.0,1661.0,0.0,0.0,1959.0,0.0,0.0,946.0,0.0,0.0,0.0,896.0,0.0,0.0,912.0,0.0,0.0,0.0,2521.0,0.0,0.0,0.0,1129.0,0.0,0.0,0.0,0.0,1111.0,1558.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.0,0.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,-0.005850208158684467,317.2,316.46,319.92,-0.7400000000000091,2.7200000000000273,-0.0023329129886506816,0.008575031525851262,-2.77256814203551
