,0
0,0.7331281
1,0.481707
2,0.41257483
3,0.37427825
4,0.3603508
5,0.34984902
6,0.33136332
7,0.3228052
8,0.31365618
9,0.3000517
10,0.30301782
11,0.28595588
12,0.28037396
13,0.27724123
14,0.2661927
15,0.26282787
16,0.25976905
17,0.25716534
18,0.25474846
19,0.24242827
20,0.24239989
21,0.23686838
22,0.23052955
23,0.22622257
24,0.22629052
25,0.21738923
26,0.21431962
27,0.20764557
28,0.2037396
29,0.1988112
30,0.19327272
31,0.1921074
32,0.19135638
33,0.18751533
34,0.18216997
35,0.17976654
36,0.17156048
37,0.17423545
38,0.16973858
39,0.16776772
40,0.1628877
41,0.16075747
42,0.15509167
43,0.16003461
44,0.15652779
45,0.15369217
46,0.14434838
47,0.14176765
48,0.1432975
49,0.14082022
50,0.14126523
51,0.13959397
52,0.13153632
53,0.13080262
54,0.13174754
55,0.12897505
56,0.12689513
57,0.12772106
58,0.12434905
59,0.11997158
60,0.122102514
61,0.11896765
62,0.11665351
63,0.11301099
64,0.11494646
65,0.11142051
66,0.112116575
67,0.11164983
68,0.10913905
69,0.1120991
70,0.10489448
71,0.10564565
72,0.10369895
73,0.10124651
74,0.103346564
75,0.100462005
76,0.09940813
77,0.09516591
78,0.0991374
79,0.098271474
80,0.09701892
81,0.096445985
82,0.09528374
83,0.0977749
84,0.096623786
85,0.0932994
86,0.08996121
87,0.087753244
88,0.08996223
89,0.08739935
90,0.08767764
91,0.08597087
92,0.08738381
93,0.08305139
94,0.087184146
95,0.081614144
96,0.08383225
97,0.08533197
98,0.08069944
99,0.07778827
100,0.07999005
101,0.07821454
102,0.077699825
103,0.07959857
104,0.078897044
105,0.0741685
106,0.07479756
107,0.076461874
108,0.07482202
109,0.07780064
110,0.07721576
111,0.07350985
112,0.07250974
113,0.07177298
114,0.0705658
115,0.07230106
116,0.07424237
117,0.070006974
118,0.071744666
119,0.07138858
120,0.07357818
121,0.06614693
