,0,1,2,3,4,5,6
0,86.2,86.68,86.6,86.56,86.56,86.36,86.2
1,86.68,86.6,86.56,86.56,86.36,86.2,86.22
2,86.6,86.56,86.56,86.36,86.2,86.22,86.1
3,86.56,86.56,86.36,86.2,86.22,86.1,85.92
4,86.56,86.36,86.2,86.22,86.1,85.92,85.84
5,86.36,86.2,86.22,86.1,85.92,85.84,85.64
6,86.2,86.22,86.1,85.92,85.84,85.64,85.46
7,86.22,86.1,85.92,85.84,85.64,85.46,85.32
8,86.1,85.92,85.84,85.64,85.46,85.32,85.54
9,85.92,85.84,85.64,85.46,85.32,85.54,85.22
10,85.84,85.64,85.46,85.32,85.54,85.22,86.02
11,85.64,85.46,85.32,85.54,85.22,86.02,86.04
12,85.46,85.32,85.54,85.22,86.02,86.04,85.26
13,85.32,85.54,85.22,86.02,86.04,85.26,85.44
14,85.54,85.22,86.02,86.04,85.26,85.44,85.42
15,85.22,86.02,86.04,85.26,85.44,85.42,85.4
16,86.02,86.04,85.26,85.44,85.42,85.4,85.46
17,86.04,85.26,85.44,85.42,85.4,85.46,85.56
18,85.26,85.44,85.42,85.4,85.46,85.56,85.62
19,85.44,85.42,85.4,85.46,85.56,85.62,86.7
20,85.42,85.4,85.46,85.56,85.62,86.7,86.7
21,85.4,85.46,85.56,85.62,86.7,86.7,86.6
22,85.46,85.56,85.62,86.7,86.7,86.6,86.32
23,85.56,85.62,86.7,86.7,86.6,86.32,86.06
24,85.62,86.7,86.7,86.6,86.32,86.06,85.9
25,86.7,86.7,86.6,86.32,86.06,85.9,85.96
26,86.7,86.6,86.32,86.06,85.9,85.96,86.4
27,86.6,86.32,86.06,85.9,85.96,86.4,86.54
28,86.32,86.06,85.9,85.96,86.4,86.54,86.09
29,86.06,85.9,85.96,86.4,86.54,86.09,85.64
30,85.9,85.96,86.4,86.54,86.09,85.64,85.5
31,85.96,86.4,86.54,86.09,85.64,85.5,85.48
32,86.4,86.54,86.09,85.64,85.5,85.48,85.52
33,86.54,86.09,85.64,85.5,85.48,85.52,85.34
34,86.09,85.64,85.5,85.48,85.52,85.34,85.48
35,85.64,85.5,85.48,85.52,85.34,85.48,85.54
36,85.5,85.48,85.52,85.34,85.48,85.54,85.3
37,85.48,85.52,85.34,85.48,85.54,85.3,85.32
